Threads,Size,Time [s]
8,524288,0.299933
8,1048576,0.608176
8,2097152,0.941521
8,4194304,1.814726
8,8388608,3.868389
8,16777216,7.520298
8,33554432,14.479107
8,67108864,28.324808
16,1,0.000222
16,2,0.000350
16,4,0.000604
16,8,0.000797
16,16,0.001075
16,32,0.001326
16,64,0.001353
16,128,0.003791
16,256,0.001148
16,512,0.001092
16,1024,0.001811
16,2048,0.001990
16,4096,0.003235
16,8192,0.006344
16,16384,0.010368
16,32768,0.018711
16,65536,0.037860
16,131072,0.074320
16,262144,0.144985
16,524288,0.292616
16,1048576,0.586318
16,2097152,1.163501
16,4194304,2.090976
16,8388608,4.054983
16,16777216,8.429196
16,33554432,16.443565
16,67108864,32.705738
32,1,0.000156
32,2,0.000293
32,4,0.000416
32,8,0.000952
32,16,0.000774
32,32,0.001624
32,64,0.002528
32,128,0.002553
32,256,0.001804
32,512,0.001986
32,1024,0.001679
32,2048,0.002938
32,4096,0.004249
32,8192,0.007216
32,16384,0.010746
32,32768,0.019466
32,65536,0.038927
32,131072,0.075659
32,262144,0.140476
32,524288,0.306894
32,1048576,0.537149
32,2097152,1.098802
32,4194304,2.097625
32,8388608,4.439334
32,16777216,8.910497
32,33554432,18.075935
32,67108864,36.083577
64,1,0.000182
64,2,0.000389
64,4,0.000474
64,8,0.001242
64,16,0.001372
64,32,0.001995
64,64,0.003528
64,128,0.003800
64,256,0.004992
64,512,0.004119
64,1024,0.004502
64,2048,0.004642
64,4096,0.007214
64,8192,0.008828
64,16384,0.012997
64,32768,0.020887
64,65536,0.039613
64,131072,0.079592
64,262144,0.154506
64,524288,0.299706
64,1048576,0.554274
64,2097152,1.094307
64,4194304,2.149022
64,8388608,4.499947
64,16777216,9.012949
64,33554432,17.507156
64,67108864,34.736212
